,Rainbow,No Double,No Dueling,No PER,No Noisy,No Distributional,No N-steps,DQN,Double,Dueling,PER, Noisy,Distributional,N-steps
901,0.314285714285714,0.359340659340659,0.283516483516483,0.332967032967033,0.302197802197802,0.282417582417582,0.26043956043956,0.147252747252747,0.194505494505495,0.276923076923077,0.165934065934066,0.362637362637363,0.082417582417583,0.210989010989011
910,0.315560391730141,0.361262241566921,0.286180631120783,0.339499455930359,0.309031556039173,0.287268770402612,0.262241566920566,0.149075081610446,0.194776931447225,0.276387377584331,0.161044613710555,0.357997823721436,0.082698585418934,0.211099020674646
919,0.317887931034483,0.364224137931034,0.290948275862069,0.344827586206897,0.311422413793103,0.28448275862069,0.262931034482759,0.157327586206897,0.198275862068966,0.28125,0.164870689655172,0.357758620689655,0.080818965517241,0.211206896551724
928,0.32017075773746,0.364994663820704,0.295624332977588,0.350053361792956,0.311632870864461,0.281750266808965,0.263607257203842,0.155816435432231,0.19957310565635,0.28281750266809,0.164354322305229,0.355389541088581,0.07897545357524,0.215581643543223
937,0.323467230443975,0.365750528541226,0.302325581395349,0.346723044397463,0.313953488372093,0.287526427061311,0.261099365750529,0.154334038054968,0.198731501057082,0.283298097251586,0.170190274841438,0.358350951374207,0.072938689217759,0.214587737843552
946,0.323560209424084,0.363350785340314,0.306806282722513,0.345549738219895,0.31413612565445,0.292146596858639,0.259685863874346,0.153926701570681,0.193717277486911,0.280628272251309,0.167539267015707,0.359162303664921,0.069109947643979,0.213612565445026
955,0.327800829875519,0.359958506224066,0.312240663900415,0.347510373443983,0.315352697095436,0.29045643153527,0.257261410788382,0.154564315352697,0.190871369294606,0.281120331950207,0.16597510373444,0.358921161825726,0.069502074688797,0.211618257261411
964,0.330935251798561,0.359712230215827,0.314491264131552,0.351490236382323,0.318602261048304,0.294964028776978,0.256937307297019,0.145940390544707,0.193216855087359,0.279547790339157,0.167523124357657,0.360739979445015,0.068859198355601,0.212744090441932
973,0.326883910386965,0.361507128309572,0.313645621181263,0.35234215885947,0.318737270875764,0.29837067209776,0.260692464358452,0.144602851323829,0.192464358452139,0.280040733197556,0.170061099796334,0.364562118126273,0.069246435845214,0.215885947046843
982,0.325933400605449,0.360242179616549,0.316851664984864,0.358224016145308,0.320887991927346,0.303733602421796,0.255297679112008,0.148335015136226,0.190716448032291,0.280524722502523,0.175580221997982,0.364278506559031,0.061553985872856,0.214934409687185
991,0.33,0.361,0.319,0.362,0.323,0.309,0.256,0.149,0.188,0.28,0.182,0.368,0.063,0.216
1000,0.333002973240832,0.360753221010902,0.322101090188305,0.367690782953419,0.32408325074331,0.314172447968285,0.251734390485629,0.149653121902874,0.189296333002973,0.280475718533201,0.183349851337958,0.365708622398414,0.065411298315164,0.217046580773043
1009,0.336935166994106,0.360510805500982,0.323182711198428,0.37229862475442,0.328094302554027,0.316306483300589,0.25147347740668,0.150294695481336,0.18664047151277,0.286836935166994,0.179764243614931,0.361493123772102,0.06483300589391,0.214145383104126
1018,0.340798442064265,0.356377799415774,0.326192794547225,0.370009737098345,0.324245374878286,0.317429406037001,0.249269717624148,0.152872444011684,0.185978578383642,0.28919182083739,0.183057448880234,0.354430379746835,0.059396299902629,0.216163583252191
1027,0.344594594594595,0.353281853281853,0.329150579150579,0.373552123552123,0.326254826254826,0.315637065637066,0.250965250965251,0.157335907335907,0.183397683397683,0.291505791505791,0.184362934362934,0.356177606177606,0.056949806949807,0.215250965250965
1036,0.346411483253588,0.355023923444976,0.327272727272727,0.374162679425837,0.327272727272727,0.319617224880383,0.250717703349282,0.162679425837321,0.186602870813397,0.29377990430622,0.181818181818182,0.354066985645933,0.056459330143541,0.215311004784689
1045,0.350094876660342,0.353889943074004,0.324478178368121,0.373814041745731,0.32258064516129,0.320683111954459,0.251423149905123,0.161290322580645,0.186907020872865,0.291271347248577,0.180265654648956,0.353889943074004,0.056925996204934,0.218216318785579
1054,0.353715898400753,0.355597365945437,0.32549388523048,0.374412041392286,0.32173095014111,0.320790216368768,0.247412982126058,0.163687676387582,0.189087488240828,0.29068673565381,0.181561618062088,0.353715898400753,0.055503292568203,0.217309501411101
1063,0.35634328358209,0.357276119402985,0.326492537313433,0.376865671641791,0.32089552238806,0.318097014925373,0.24160447761194,0.167910447761194,0.185634328358209,0.288246268656716,0.180970149253731,0.353544776119403,0.053171641791045,0.219216417910448
1072,0.358926919518964,0.360777058279371,0.326549491211841,0.378353376503238,0.318223866790009,0.320074005550416,0.240518038852914,0.17113783533765,0.182238667900092,0.293246993524514,0.178538390379278,0.353376503237743,0.051803885291397,0.220166512488437
1081,0.360550458715596,0.362385321100917,0.324770642201835,0.375229357798165,0.31651376146789,0.322935779816514,0.241284403669725,0.174311926605505,0.178899082568807,0.29908256880734,0.184403669724771,0.35045871559633,0.054128440366973,0.218348623853211
